transaction_id,datetime,category_id,category_name,store_name,amount,card_name,card_type,transaction_type,member_id
67,2019-02-04 20:51:00,12,기타,인테리어,70600,신한카드 Hey Young 체크,체크카드,일반결제,4
68,2019-02-05 02:19:00,12,기타,다이소,34200,신한카드 Hey Young 체크,체크카드,일반결제,4
69,2019-02-06 04:40:00,1,편의점,이마트24,6300,신한카드 Hey Young 체크,체크카드,일반결제,4
70,2019-02-06 06:32:00,3,외식,VIPS,22500,우리카드 DA@카드의정석,신용카드,일반결제,4
71,2019-02-06 15:45:00,3,외식,롤링파스타,9900,우리카드 우리 K-패스 (COOKIE CHECK),체크카드,일반결제,4
72,2019-02-06 15:46:00,5,영화/문화,롯데시네마,21200,우리카드 DA@카드의정석,신용카드,일반결제,4
73,2019-02-06 21:10:00,2,카페/디저트,이디야,11200,신한카드 Hey Young 체크,체크카드,일반결제,4
74,2019-02-07 08:24:00,3,외식,역전할머니맥주,37300,IBK 일상의 기쁨카드(신용),신용카드,일반결제,4
75,2019-02-07 17:11:00,2,카페/디저트,투썸,15800,우리카드 우리 K-패스 (COOKIE CHECK),체크카드,일반결제,4
76,2019-02-08 22:03:00,2,카페/디저트,할리스,15500,신한카드 Hey Young 체크,체크카드,일반결제,4
77,2019-02-08 22:54:00,8,병원,정형외과,8600,IBK 일상의 기쁨카드(신용),신용카드,일반결제,4
78,2019-02-09 23:52:00,2,카페/디저트,메가커피,5200,우리카드 DA@카드의정석,신용카드,일반결제,4
79,2019-02-10 07:51:00,2,카페/디저트,할리스,10200,우리카드 우리 K-패스 (COOKIE CHECK),체크카드,일반결제,4
80,2019-02-11 14:03:00,6,마트,GS마트,35100,IBK 일상의 기쁨카드(신용),신용카드,일반결제,4
81,2019-02-11 16:58:00,9,교육/육아,yes24,15200,우리카드 DA@카드의정석,신용카드,일반결제,4
82,2019-02-12 19:51:00,1,편의점,GS25,8400,KB국민 노리2 체크카드(KB Pay),체크카드,일반결제,4
83,2019-02-12 21:01:00,1,편의점,세븐일레븐,7300,신한카드 Hey Young 체크,체크카드,일반결제,4
84,2019-02-13 05:16:00,3,외식,롤링파스타,8600,KB국민 노리2 체크카드(KB Pay),체크카드,일반결제,4
85,2019-02-14 04:22:00,2,카페/디저트,이디야,16000,우리카드 DA@카드의정석,신용카드,일반결제,4
86,2019-02-14 17:01:00,1,편의점,세븐일레븐,5800,우리카드 DA@카드의정석,신용카드,일반결제,4
87,2019-02-15 16:21:00,1,편의점,GS25,2600,우리카드 우리 K-패스 (COOKIE CHECK),체크카드,일반결제,4
88,2019-02-21 14:33:00,4,주유,에이치디현대오일뱅크,38500,신한카드 Hey Young 체크,체크카드,일반결제,4
89,2019-02-22 02:07:00,1,편의점,CU,2100,KB국민 노리2 체크카드(KB Pay),체크카드,일반결제,4
90,2019-03-01 00:00:00,14,교통(대중),기후동행카드,55000,IBK 일상의 기쁨카드(신용),체크카드,정기결제,4
91,2019-03-01 00:01:00,13,통신,KT,50000,KB국민 노리2 체크카드(KB Pay),체크카드,정기결제,4
92,2019-03-01 00:50:00,2,카페/디저트,할리스,11700,IBK 일상의 기쁨카드(신용),신용카드,일반결제,4
93,2019-03-01 08:31:00,3,외식,맥도날드,26200,우리카드 우리 K-패스 (COOKIE CHECK),체크카드,일반결제,4
94,2019-03-01 08:39:00,12,기타,철물점,44800,우리카드 우리 K-패스 (COOKIE CHECK),체크카드,일반결제,4
95,2019-03-01 10:32:00,8,병원,내과,5800,우리카드 우리 K-패스 (COOKIE CHECK),체크카드,일반결제,4
96,2019-03-02 04:03:00,2,카페/디저트,엔제리너스,5900,IBK 일상의 기쁨카드(신용),신용카드,일반결제,4
97,2019-03-02 04:10:00,5,영화/문화,롯데월드,20400,KB국민 노리2 체크카드(KB Pay),체크카드,일반결제,4
98,2019-03-02 10:07:00,3,외식,VIPS,11200,우리카드 DA@카드의정석,신용카드,일반결제,4
99,2019-03-02 17:01:00,7,쇼핑,ABC마트,188000,우리카드 우리 K-패스 (COOKIE CHECK),체크카드,일반결제,4
100,2019-03-02 22:02:00,2,카페/디저트,컴포즈커피,5100,IBK 일상의 기쁨카드(신용),신용카드,일반결제,4
101,2019-03-02 23:46:00,12,기타,미용실,32700,우리카드 우리 K-패스 (COOKIE CHECK),체크카드,일반결제,4
102,2019-03-03 10:09:00,2,카페/디저트,메가커피,8500,IBK 일상의 기쁨카드(신용),신용카드,일반결제,4
103,2019-03-03 23:09:00,7,쇼핑,H&M,122300,KB국민 노리2 체크카드(KB Pay),체크카드,일반결제,4
104,2019-03-04 06:56:00,3,외식,역전할머니맥주,35800,신한카드 Hey Young 체크,체크카드,일반결제,4
105,2019-03-04 09:56:00,3,외식,김밥천국,16000,우리카드 우리 K-패스 (COOKIE CHECK),체크카드,일반결제,4
106,2019-03-04 11:01:00,12,기타,올리브영,84500,우리카드 우리 K-패스 (COOKIE CHECK),체크카드,일반결제,4
107,2019-03-04 13:57:00,4,주유,GS칼텍스,90100,우리카드 DA@카드의정석,신용카드,일반결제,4
108,2019-03-04 15:46:00,3,외식,역전할머니맥주,48700,우리카드 우리 K-패스 (COOKIE CHECK),체크카드,일반결제,4
109,2019-03-05 05:04:00,2,카페/디저트,투썸,16100,KB국민 노리2 체크카드(KB Pay),체크카드,일반결제,4
110,2019-03-05 15:53:00,12,기타,미용실,40300,KB국민 노리2 체크카드(KB Pay),체크카드,일반결제,4
111,2019-03-05 18:41:00,12,기타,미용실,12200,KB국민 노리2 체크카드(KB Pay),체크카드,일반결제,4
112,2019-03-06 22:59:00,2,카페/디저트,이디야,10200,KB국민 노리2 체크카드(KB Pay),체크카드,일반결제,4
113,2019-03-06 23:07:00,5,영화/문화,롯데시네마,20700,KB국민 노리2 체크카드(KB Pay),체크카드,일반결제,4
114,2019-03-07 09:38:00,1,편의점,CU,5100,우리카드 DA@카드의정석,신용카드,일반결제,4
115,2019-03-07 12:20:00,10,자동차/하이패스,호남고속도로,5600,IBK 일상의 기쁨카드(신용),신용카드,일반결제,4
116,2019-03-07 15:18:00,3,외식,맥도날드,34700,우리카드 우리 K-패스 (COOKIE CHECK),체크카드,일반결제,4
117,2019-03-07 20:33:00,2,카페/디저트,이디야,15700,우리카드 DA@카드의정석,신용카드,일반결제,4
118,2019-03-08 07:59:00,3,외식,이삭토스트,43100,IBK 일상의 기쁨카드(신용),신용카드,일반결제,4
119,2019-03-08 14:13:00,3,외식,채선당,11100,IBK 일상의 기쁨카드(신용),신용카드,일반결제,4
120,2019-03-09 04:27:00,6,마트,마켓컬리,90700,우리카드 DA@카드의정석,신용카드,일반결제,4
121,2019-03-09 06:45:00,2,카페/디저트,컴포즈커피,7000,KB국민 노리2 체크카드(KB Pay),체크카드,일반결제,4
122,2019-03-09 13:53:00,2,카페/디저트,커피빈,18100,우리카드 우리 K-패스 (COOKIE CHECK),체크카드,일반결제,4
123,2019-03-09 15:56:00,11,여행/숙박,모두투어,84700,KB국민 노리2 체크카드(KB Pay),체크카드,일반결제,4
124,2019-03-10 00:19:00,5,영화/문화,에버랜드,25300,IBK 일상의 기쁨카드(신용),신용카드,일반결제,4
125,2019-03-10 06:02:00,5,영화/문화,CGV,11900,KB국민 노리2 체크카드(KB Pay),체크카드,일반결제,4
126,2019-03-10 21:18:00,5,영화/문화,현대미술관,26800,KB국민 노리2 체크카드(KB Pay),체크카드,일반결제,4
127,2019-03-11 05:12:00,2,카페/디저트,스타벅스,19300,IBK 일상의 기쁨카드(신용),신용카드,일반결제,4
128,2019-03-11 10:50:00,2,카페/디저트,이디야,18600,우리카드 DA@카드의정석,신용카드,일반결제,4
129,2019-03-12 03:30:00,5,영화/문화,현대미술관,16500,우리카드 우리 K-패스 (COOKIE CHECK),체크카드,일반결제,4
130,2019-03-12 14:30:00,5,영화/문화,현대미술관,12300,우리카드 DA@카드의정석,신용카드,일반결제,4
131,2019-03-12 21:08:00,9,교육/육아,교보문고,16300,우리카드 우리 K-패스 (COOKIE CHECK),체크카드,일반결제,4
132,2019-03-13 11:45:00,2,카페/디저트,커피빈,19300,우리카드 DA@카드의정석,신용카드,일반결제,4
133,2019-03-13 18:47:00,1,편의점,미니스톱,3500,IBK 일상의 기쁨카드(신용),신용카드,일반결제,4
134,2019-03-14 02:51:00,10,자동차/하이패스,경부고속도로,7200,KB국민 노리2 체크카드(KB Pay),체크카드,일반결제,4
135,2019-03-14 05:13:00,2,카페/디저트,엔제리너스,5900,KB국민 노리2 체크카드(KB Pay),체크카드,일반결제,4
136,2019-03-14 23:00:00,10,자동차/하이패스,영동고속도로,7800,KB국민 노리2 체크카드(KB Pay),체크카드,일반결제,4
137,2019-03-15 13:52:00,2,카페/디저트,컴포즈커피,11900,신한카드 Hey Young 체크,체크카드,일반결제,4
138,2019-03-15 15:07:00,2,카페/디저트,커피빈,7900,우리카드 우리 K-패스 (COOKIE CHECK),체크카드,일반결제,4
139,2019-03-15 22:49:00,5,영화/문화,뮤지컬/연극,12400,우리카드 우리 K-패스 (COOKIE CHECK),체크카드,일반결제,4
140,2019-03-16 05:55:00,3,외식,롤링파스타,12400,우리카드 DA@카드의정석,신용카드,일반결제,4
141,2019-03-16 08:41:00,2,카페/디저트,컴포즈커피,14700,IBK 일상의 기쁨카드(신용),신용카드,일반결제,4
142,2019-03-17 11:50:00,8,병원,이비인후과,12300,IBK 일상의 기쁨카드(신용),신용카드,일반결제,4
143,2019-03-18 20:54:00,2,카페/디저트,엔제리너스,17900,KB국민 노리2 체크카드(KB Pay),체크카드,일반결제,4
144,2019-03-21 01:21:00,2,카페/디저트,엔제리너스,4000,KB국민 노리2 체크카드(KB Pay),체크카드,일반결제,4
145,2019-03-22 03:16:00,9,교육/육아,알라딘,20900,IBK 일상의 기쁨카드(신용),신용카드,일반결제,4
146,2019-03-30 11:08:00,1,편의점,미니스톱,9100,우리카드 우리 K-패스 (COOKIE CHECK),체크카드,일반결제,4
147,2019-04-01 00:00:00,14,교통(대중),기후동행카드,55000,IBK 일상의 기쁨카드(신용),체크카드,정기결제,4
148,2019-04-01 00:01:00,13,통신,KT,50000,KB국민 노리2 체크카드(KB Pay),체크카드,정기결제,4
149,2019-04-01 03:15:00,7,쇼핑,현대백화점,61800,IBK 일상의 기쁨카드(신용),신용카드,일반결제,4
150,2019-04-01 04:26:00,3,외식,본죽,8500,IBK 일상의 기쁨카드(신용),신용카드,일반결제,4
151,2019-04-01 04:39:00,12,기타,올리브영,41600,IBK 일상의 기쁨카드(신용),신용카드,일반결제,4
152,2019-04-01 11:41:00,12,기타,미용실,24600,IBK 일상의 기쁨카드(신용),신용카드,일반결제,4
153,2019-04-02 10:13:00,12,기타,미용실,28600,IBK 일상의 기쁨카드(신용),신용카드,일반결제,4
154,2019-04-02 17:34:00,7,쇼핑,신세계백화점,37500,우리카드 DA@카드의정석,신용카드,일반결제,4
155,2019-04-02 22:20:00,2,카페/디저트,할리스,15000,신한카드 Hey Young 체크,체크카드,일반결제,4
156,2019-04-03 00:24:00,3,외식,배달의민족,15200,우리카드 우리 K-패스 (COOKIE CHECK),체크카드,일반결제,4
157,2019-04-03 13:11:00,3,외식,VIPS,16800,IBK 일상의 기쁨카드(신용),신용카드,일반결제,4
158,2019-04-03 16:23:00,3,외식,명동칼국수,47900,IBK 일상의 기쁨카드(신용),신용카드,일반결제,4
159,2019-04-04 05:43:00,9,교육/육아,인프런,21500,신한카드 Hey Young 체크,체크카드,일반결제,4
160,2019-04-04 06:45:00,2,카페/디저트,커피빈,9900,IBK 일상의 기쁨카드(신용),신용카드,일반결제,4
161,2019-04-04 08:38:00,3,외식,배달의민족,30200,우리카드 DA@카드의정석,신용카드,일반결제,4
162,2019-04-04 23:27:00,2,카페/디저트,커피빈,5900,KB국민 노리2 체크카드(KB Pay),체크카드,일반결제,4
163,2019-04-05 20:11:00,2,카페/디저트,할리스,16900,신한카드 Hey Young 체크,체크카드,일반결제,4
164,2019-04-06 07:53:00,5,영화/문화,롯데시네마,16900,신한카드 Hey Young 체크,체크카드,일반결제,4
165,2019-04-06 09:20:00,3,외식,투다리,18300,우리카드 우리 K-패스 (COOKIE CHECK),체크카드,일반결제,4
166,2019-04-07 17:05:00,2,카페/디저트,스타벅스,10100,신한카드 Hey Young 체크,체크카드,일반결제,4
167,2019-04-08 15:35:00,8,병원,정형외과,10600,우리카드 DA@카드의정석,신용카드,일반결제,4
168,2019-04-08 17:40:00,12,기타,철물점,7000,IBK 일상의 기쁨카드(신용),신용카드,일반결제,4
169,2019-04-09 00:37:00,7,쇼핑,지그재그,57000,IBK 일상의 기쁨카드(신용),신용카드,일반결제,4
170,2019-04-09 15:10:00,2,카페/디저트,카페베네,19200,신한카드 Hey Young 체크,체크카드,일반결제,4
171,2019-04-10 02:13:00,1,편의점,이마트24,2200,우리카드 DA@카드의정석,신용카드,일반결제,4
172,2019-04-10 04:36:00,5,영화/문화,에버랜드,12400,신한카드 Hey Young 체크,체크카드,일반결제,4
173,2019-04-10 18:27:00,5,영화/문화,뮤지컬/연극,18000,신한카드 Hey Young 체크,체크카드,일반결제,4
174,2019-04-11 14:14:00,12,기타,철물점,7100,신한카드 Hey Young 체크,체크카드,일반결제,4
175,2019-04-12 03:23:00,5,영화/문화,에버랜드,10800,IBK 일상의 기쁨카드(신용),신용카드,일반결제,4
176,2019-04-12 08:59:00,2,카페/디저트,컴포즈커피,11600,우리카드 우리 K-패스 (COOKIE CHECK),체크카드,일반결제,4
177,2019-04-13 11:12:00,2,카페/디저트,커피빈,4900,KB국민 노리2 체크카드(KB Pay),체크카드,일반결제,4
178,2019-04-13 16:58:00,5,영화/문화,현대미술관,12600,우리카드 우리 K-패스 (COOKIE CHECK),체크카드,일반결제,4
179,2019-04-13 20:11:00,10,자동차/하이패스,서울고속도로,11600,KB국민 노리2 체크카드(KB Pay),체크카드,일반결제,4
180,2019-04-14 09:51:00,1,편의점,GS25,9100,우리카드 우리 K-패스 (COOKIE CHECK),체크카드,일반결제,4
181,2019-04-15 02:11:00,5,영화/문화,뮤지컬/연극,10400,신한카드 Hey Young 체크,체크카드,일반결제,4
182,2019-04-15 20:41:00,1,편의점,GS25,8200,IBK 일상의 기쁨카드(신용),신용카드,일반결제,4
183,2019-04-16 14:50:00,12,기타,올리브영,14800,우리카드 우리 K-패스 (COOKIE CHECK),체크카드,일반결제,4
184,2019-04-17 11:28:00,2,카페/디저트,투썸,13000,KB국민 노리2 체크카드(KB Pay),체크카드,일반결제,4
185,2019-04-18 14:36:00,2,카페/디저트,투썸,15400,IBK 일상의 기쁨카드(신용),신용카드,일반결제,4
186,2019-04-21 23:16:00,6,마트,롯데마트,42800,우리카드 DA@카드의정석,신용카드,일반결제,4
187,2019-04-22 18:06:00,1,편의점,미니스톱,9400,우리카드 우리 K-패스 (COOKIE CHECK),체크카드,일반결제,4
188,2019-05-01 00:00:00,14,교통(대중),기후동행카드,55000,IBK 일상의 기쁨카드(신용),체크카드,정기결제,4
189,2019-05-01 00:01:00,13,통신,KT,50000,우리카드 우리 K-패스 (COOKIE CHECK),체크카드,정기결제,4
190,2019-05-01 00:28:00,7,쇼핑,에이블리,153700,우리카드 우리 K-패스 (COOKIE CHECK),체크카드,일반결제,4
191,2019-05-01 03:25:00,4,주유,GS칼텍스,76000,KB국민 노리2 체크카드(KB Pay),체크카드,일반결제,4
192,2019-05-01 05:12:00,1,편의점,미니스톱,4500,우리카드 우리 K-패스 (COOKIE CHECK),체크카드,일반결제,4
193,2019-05-01 10:20:00,2,카페/디저트,할리스,12200,신한카드 Hey Young 체크,체크카드,일반결제,4
194,2019-05-01 10:41:00,3,외식,김밥천국,47600,우리카드 DA@카드의정석,신용카드,일반결제,4
195,2019-05-02 12:45:00,6,마트,GS마트,63500,신한카드 Hey Young 체크,체크카드,일반결제,4
196,2019-05-02 23:53:00,12,기타,다이소,15400,우리카드 DA@카드의정석,신용카드,일반결제,4
197,2019-05-03 03:51:00,5,영화/문화,롯데시네마,10000,우리카드 DA@카드의정석,신용카드,일반결제,4
198,2019-05-03 04:53:00,1,편의점,CU,4500,IBK 일상의 기쁨카드(신용),신용카드,일반결제,4
199,2019-05-03 04:58:00,6,마트,이마트,30100,IBK 일상의 기쁨카드(신용),신용카드,일반결제,4
200,2019-05-03 08:19:00,1,편의점,GS25,5200,우리카드 DA@카드의정석,신용카드,일반결제,4
201,2019-05-04 04:37:00,3,외식,이삭토스트,8600,우리카드 DA@카드의정석,신용카드,일반결제,4
202,2019-05-04 04:47:00,12,기타,올리브영,19600,우리카드 DA@카드의정석,신용카드,일반결제,4
203,2019-05-04 07:56:00,7,쇼핑,자라,120000,우리카드 DA@카드의정석,신용카드,일반결제,4
204,2019-05-04 14:10:00,3,외식,김밥천국,37900,신한카드 Hey Young 체크,체크카드,일반결제,4
205,2019-05-04 14:34:00,5,영화/문화,캐리비안베이,17000,신한카드 Hey Young 체크,체크카드,일반결제,4
206,2019-05-04 15:11:00,12,기타,다이소,90500,KB국민 노리2 체크카드(KB Pay),체크카드,일반결제,4
207,2019-05-05 00:15:00,12,기타,올리브영,42400,우리카드 우리 K-패스 (COOKIE CHECK),체크카드,일반결제,4
208,2019-05-05 18:33:00,3,외식,명동칼국수,22500,신한카드 Hey Young 체크,체크카드,일반결제,4
209,2019-05-06 01:38:00,9,교육/육아,메가스터디,29700,KB국민 노리2 체크카드(KB Pay),체크카드,일반결제,4
210,2019-05-06 07:16:00,5,영화/문화,롯데월드,27200,신한카드 Hey Young 체크,체크카드,일반결제,4
211,2019-05-06 20:34:00,5,영화/문화,키즈카페,25700,우리카드 우리 K-패스 (COOKIE CHECK),체크카드,일반결제,4
212,2019-05-07 01:14:00,2,카페/디저트,이디야,6100,IBK 일상의 기쁨카드(신용),신용카드,일반결제,4
213,2019-05-07 18:52:00,1,편의점,세븐일레븐,4500,우리카드 우리 K-패스 (COOKIE CHECK),체크카드,일반결제,4
214,2019-05-07 19:45:00,2,카페/디저트,메가커피,11700,우리카드 우리 K-패스 (COOKIE CHECK),체크카드,일반결제,4
215,2019-05-08 03:40:00,5,영화/문화,롯데시네마,24600,KB국민 노리2 체크카드(KB Pay),체크카드,일반결제,4
216,2019-05-08 05:41:00,1,편의점,이마트24,3900,IBK 일상의 기쁨카드(신용),신용카드,일반결제,4
217,2019-05-08 10:34:00,3,외식,채선당,33000,KB국민 노리2 체크카드(KB Pay),체크카드,일반결제,4
218,2019-05-08 19:52:00,3,외식,김밥천국,46200,IBK 일상의 기쁨카드(신용),신용카드,일반결제,4
219,2019-05-09 00:39:00,2,카페/디저트,카페베네,17700,우리카드 우리 K-패스 (COOKIE CHECK),체크카드,일반결제,4
220,2019-05-09 04:47:00,5,영화/문화,아쿠아리움,21100,신한카드 Hey Young 체크,체크카드,일반결제,4
221,2019-05-10 05:58:00,2,카페/디저트,이디야,6300,신한카드 Hey Young 체크,체크카드,일반결제,4
222,2019-05-10 09:29:00,1,편의점,CU,4300,KB국민 노리2 체크카드(KB Pay),체크카드,일반결제,4
223,2019-05-10 23:09:00,3,외식,맥도날드,19700,우리카드 DA@카드의정석,신용카드,일반결제,4
224,2019-05-11 22:20:00,7,쇼핑,지그재그,34300,신한카드 Hey Young 체크,체크카드,일반결제,4
225,2019-05-12 04:27:00,2,카페/디저트,할리스,15100,IBK 일상의 기쁨카드(신용),신용카드,일반결제,4
226,2019-05-12 05:47:00,2,카페/디저트,컴포즈커피,6300,신한카드 Hey Young 체크,체크카드,일반결제,4
227,2019-05-12 10:25:00,2,카페/디저트,이디야,17600,우리카드 DA@카드의정석,신용카드,일반결제,4
228,2019-05-13 04:25:00,12,기타,인테리어,34800,KB국민 노리2 체크카드(KB Pay),체크카드,일반결제,4
